"","variable_name","dataset","code_list","definition"
"1","budget_tot","Budget",NA,"Total budget required (US Dollars)"
"2","newinc_con","Contacts preventive treatment",NA,"(If screen_data_available=60) Number of household contacts of bacteriologically-confirmed pulmonary new and relapse TB cases"
"3","newinc_con_prevtx","Contacts preventive treatment",NA,"(If prevtx_data_available=60) Number of household contacts of bacteriologically-confirmed pulmonary new and relapse TB cases notified in the reporting year who were started on TB preventive treatment"
"4","newinc_con_screen","Contacts preventive treatment",NA,"(If screen_data_available=60) Number of household contacts of bacteriologically-confirmed pulmonary new and relapse TB cases who were evaluated for active TB and latent TB"
"5","newinc_con_tb","Contacts preventive treatment",NA,"(If screen_data_available=60) Number of household contacts of bacteriologically confirmed pulmonary new and relapse TB cases who were diagnosed with TB disease"
"6","newinc_con04_prevtx","Contacts preventive treatment",NA,"(If prevtx_data_available=60) Number of children aged under 5 started on TB preventive treatment who are household contacts of bacteriologically-confirmed new and relapse TB cases notified"
"7","prevtx_data_available","Contacts preventive treatment","0=No; 60= Yes available from the routine surveillance system; 61=Yes estimated from a review of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population","Are data available on the number of household contacts of TB cases started on TB preventive treatment?"
"8","screen_data_available","Contacts preventive treatment","0=No; 60= Yes available from the routine surveillance system; 61=Yes estimated from a review of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population; 5=Not applicable","Are data available on the number of household contacts of TB cases who were evaluated for TB?"
"9","tpt_short_regimens_used","Contacts preventive treatment","0=No; 1=Yes; 3=Don't know;","Were any shorter TB preventive treatment regimes containing rifampicin or rifapentine used at least once?"
"10","country","Country identification",NA,"Country or territory name"
"11","g_whoregion","Country identification","AFR=Africa; AMR=Americas; EMR=Eastern Mediterranian; EUR=Europe; SEA=South-East Asia; WPR=Western Pacific","WHO region"
"12","iso_numeric","Country identification",NA,"ISO numeric country/territory code"
"13","iso2","Country identification",NA,"ISO 2-character country/territory code"
"14","iso3","Country identification",NA,"ISO 3-character country/territory code"
"15","exp_tot","Expenditure and utilisation",NA,"Total actual expenditure (US Dollars)"
"16","hcfvisit_dstb","Expenditure and utilisation",NA,"Typical number of visits to a health facility after diagnosis for patients starting first-line TB treatment"
"17","hcfvisit_mdr","Expenditure and utilisation",NA,"Typical number of visits to a health facility after diagnosis for patients starting MDR-TB/XDR-TB treatment"
"18","hosp_type_mdr","Expenditure and utilisation","2=Not applicable; 140=Primary-level hospital; 141=Secondary-level hospital; 142= Tertiary-level hospital","Type of facility most often used if MDR-TB patients are hospitalized"
"19","hospd_dstb_dur","Expenditure and utilisation",NA,"Estimated average duration of stay if patients starting first-line TB treatment are hospitalized (days)"
"20","hospd_dstb_prct","Expenditure and utilisation",NA,"Estimated percentage of patients starting first-line TB treatment that are hospitalized (%)"
"21","hospd_mdr_dur","Expenditure and utilisation",NA,"Estimated average duration of stay if patients starting MDR-TB/XDR-TB treatment are hospitalized (days)"
"22","hospd_mdr_prct","Expenditure and utilisation",NA,"Estimated percentage of patients starting MDR-TB/XDR-TB treatment that are hospitalized (%)"
"23","culture","Laboratories",NA,"Number of sites providing TB diagnostic services using culture at the end of the reporting year"
"24","dst_bdq","Laboratories",NA,"Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for bedaquiline at the end of the reporting year"
