Country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,495.0055556,503.8388889,509.8944444,515.0055556,519.6666667,524.9055556,531.1444444,537.7055556,544.4222222,551.1777778,557.45,562.7111111,567.2888889,571.5555556,575.5222222,579.2055556,582.6333333,585.7722222,588.6777778,591.3444444,592.1388889,591.8722222,
Africa Eastern and Southern,AFE,27.56047962,28.27428518,29.01128214,29.77072913,30.24971329,31.05614843,31.89546439,32.77156418,33.67805177,34.60605694,35.55880606,36.53185151,37.21963958,38.25452,39.31620331,40.41792755,41.52057076,42.62325498,43.7690819,44.94692958,46.15081314,47.35418253,
Afghanistan,AFG,29.96332889,30.18663968,32.19762354,34.71954679,36.11233921,37.42727412,39.00915935,39.71497938,40.51822057,41.98719317,43.22044677,44.84485074,46.71125063,48.35902826,50.16054153,51.75091455,53.10428376,54.64854116,56.24823145,57.90825169,59.75228064,61.48055441,
Africa Western and Central,AFW,29.80526809,30.63971233,31.50113335,32.38835667,33.30450741,34.25075881,35.22100736,36.21720161,37.24320457,38.30241516,39.3927071,40.51493669,41.65456146,42.80499338,43.98244342,45.18022492,46.40599086,47.66186045,48.93406926,50.22298387,51.53667929,52.86291254,
Angola,AGO,13.14996551,13.58914494,14.05000321,14.53785353,15.05664955,15.60195636,16.17256758,16.77202535,17.39915136,18.05380124,18.74082377,19.45865966,20.20397209,20.97297024,21.76011631,22.56173979,23.38553461,24.2308719,25.08505093,25.95138205,26.81357664,27.67608406,
Albania,ALB,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0290146,105.8540511,105.660292,105.4417518,105.135146,104.9671898,104.8706934,104.6122628,104.1675547,103.5711314,102.6155474,
Andorra,AND,140.6319149,144.2978723,150.7425532,157.2489362,163.687234,169.8425532,170.6829787,166.3148936,161.8191489,157.1319149,152.1680851,150.1425532,151.0914894,151.8446809,152.3851064,152.6510638,154.3404255,157.1,159.6021277,162.4319149,165.3191489,168.1574468,
Arab World,ARB,21.09006628,21.56366513,22.04166851,22.52350552,23.01403788,23.55101335,24.1492577,24.79538717,25.4662963,26.14147446,26.77877881,27.36099428,29.03505953,29.70324997,30.37458933,31.02943629,31.684061,32.33951901,33.01742311,33.69842802,34.29079926,34.84742727,
United Arab Emirates,ARE,46.11845959,48.6369755,51.16382709,53.69533934,56.22837229,60.27869614,68.97992115,82.68972121,98.40446353,112.5407491,119.4279217,120.743523,122.0074486,123.2307378,124.4149676,125.5547592,126.6440862,127.6865108,128.6985215,129.7051112,130.7700507,131.8663053,
Argentina,ARG,13.54584334,13.69555668,13.84337576,13.98702959,14.12976844,14.27655343,14.42503572,14.57092729,14.71623348,14.86625741,14.90430155,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,16.42082662,16.58089261,16.73874169,
Armenia,ARM,111.2933966,110.0503337,109.0634703,108.3281349,107.6833509,107.0335792,106.3043906,105.5283808,104.7917457,104.119986,103.4876361,102.8793818,102.3681419,101.9102564,101.5079031,101.1097647,100.6615736,100.1729189,99.63319283,99.07277836,98.54611872,98.03210397,
American Samoa,ASM,291.15,291.62,290.885,289.705,288.13,286.27,284.185,281.915,279.455,276.83,274.245,271.55,268.455,264.975,261.085,256.84,252.24,247.315,242.12,236.605,230.945,225.175,
Antigua and Barbuda,ATG,170.5795455,173.2159091,175.4431818,177.4431818,179.4113636,181.5204545,183.8522727,186.4,189.2068182,192.1227273,194.7613636,197.1113636,199.2590909,201.1295455,202.8090909,204.4113636,205.8272727,207.0886364,208.2409091,209.3568182,210.6,211.8613636,
Australia,AUS,2.476966794,2.508975307,2.53767882,2.567035523,2.594629473,2.626406675,2.662088958,2.711118025,2.765994429,2.823588378,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.197365841,3.245784982,3.294351419,3.335312311,3.33957517,
Austria,AUT,97.08635482,97.45871304,97.93937227,98.41763209,99.03012603,99.70708919,100.2016602,100.5269874,100.8421716,101.1066772,101.3500242,101.6922322,102.1569438,102.7608216,103.5670868,104.7345977,105.8733398,106.6113185,107.1318589,107.6093068,108.0570044,108.5288051,
Azerbaijan,AZE,97.43477998,98.19379207,98.9124646,99.62372356,100.4753726,101.5225018,102.6725317,103.8533687,106.0597625,108.2912905,109.5423442,110.9763362,112.4607902,113.9234808,115.3488139,116.7310768,118.033289,119.2087416,120.2575919,121.2800711,122.1247368,122.6588022,
Burundi,BDI,245.6253505,251.7807243,258.9150312,267.1669003,277.2778816,287.7287383,298.2161215,309.3695093,322.3562695,339.1497664,355.397391,368.2139019,381.4438863,395.2327492,408.6804128,417.7238318,424.5843847,434.4078271,447.565109,462.41581,475.8655374,488.7544003,
Belgium,BEL,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.5397622,366.8075297,368.5405218,370.180218,372.3314399,374.2213342,375.6657199,377.3795905,379.4247028,381.0635403,382.8583884,
Benin,BEN,62.06121852,63.95921426,65.90797269,67.92486697,70.0120078,72.2722508,74.51783434,76.69174353,78.98606775,81.34545938,83.76826889,86.25736077,88.80877971,91.42186946,94.13660873,96.95621674,99.85885952,102.8447943,105.8946701,108.9964881,112.1241841,115.2615733,
Burkina Faso,BFA,43.43160819,44.77252924,46.17057383,47.62642909,49.14465278,50.71683845,52.32544591,53.93667398,55.54793494,57.20037281,58.90659722,60.68220395,62.55019006,64.46055556,66.41024123,68.41381213,70.45138158,72.49948099,74.53480629,76.57762792,78.66456871,80.77735015,
Bangladesh,BGD,992.4969425,1011.527111,1030.497242,1048.653346,1066.218983,1082.527387,1095.712,1107.289959,1117.164616,1127.040101,1139.979558,1153.960244,1168.400161,1183.299831,1198.135507,1212.491357,1227.50686,1242.943566,1257.462995,1271.538926,1286.171553,1301.039034,
Bulgaria,BGR,73.85132423,72.3957516,72.03272978,71.48411327,70.95310776,70.4986377,69.97166529,69.47185342,68.98592211,68.57445652,68.12453021,67.68909359,67.2981577,66.92257738,66.54327561,66.120035,65.65790346,65.18005711,64.71109985,64.25719418,63.87265107,63.35430177,
Bahrain,BHR,1002.030986,1028.530986,1053.977465,1080.911111,1141.713699,1218.812162,1312.136486,1387.376,1460.977632,1551.911842,1592.709974,1580.28292,1590.82987,1638.536364,1700.562905,1750.825193,1809.577664,1867.735897,1911.748072,1915.625641,1882.126115,1852.234177,
"Bahamas, The",BHS,32.46893107,32.92967033,33.36683317,33.81518482,34.27462537,34.74565435,35.23116883,35.73086913,36.24325674,36.76893107,37.28991009,37.75724276,38.16793207,38.52647353,38.87422577,39.23046953,39.55804196,39.86213786,40.15044955,40.41528472,40.60649351,40.74985015,
Bosnia and Herzegovina,BIH,81.62792969,81.93226563,82.00019531,81.71400391,80.91523438,79.96673828,79.25949219,78.27882813,77.019375,75.73730469,74.4353125,73.10824219,71.76511719,70.65544922,69.74742188,68.83445313,67.98800781,67.18802734,66.40876953,65.63888672,64.81263672,63.88560547,
Belarus,BLR,49.19747791,48.9467226,48.639731,48.30124836,47.97547519,47.64468799,47.33728266,47.12127096,46.95855635,46.84414336,46.74096855,46.62975211,46.5593029,46.53937252,46.55060033,46.61133719,46.64994482,46.59875953,46.50105922,46.41075062,46.21121293,45.83683173,
Belize,BLZ,10.53950022,10.87680842,11.22257782,11.57378343,11.93020605,12.291758,12.65800088,13.02818939,13.40074529,13.77338886,14.1212626,14.44708461,14.77680842,15.11126699,15.44651469,15.7768961,16.10315651,16.42669882,16.74993424,17.05808856,17.31350285,17.5375274,
Bermuda,BMU,1145.055556,1157.481481,1165.037037,1172.685185,1180.37037,1188.037037,1194.87037,1201.62963,1208.759259,1215.481481,1206,1195.62963,1199.962963,1203.722222,1206.259259,1208.092593,1195.444444,1182.833333,1183.666667,1183.537037,1183.203704,1180.814815,
Bolivia,BOL,7.931926521,8.073556725,8.216175575,8.360913874,8.507596234,8.65631681,8.808883043,8.964416136,9.120828025,9.278424259,9.437154989,9.596830056,9.756943598,9.917242684,10.07752885,10.23731653,10.39694914,10.55620142,10.71439583,10.87170221,11.01833472,11.15062494,
Brazil,BRA,21.04220796,21.32195453,21.59292438,21.85046888,22.10085533,22.34915113,22.59123226,22.82558715,23.05205668,23.27282733,23.49248661,23.7116514,23.92610162,24.13476766,24.34269467,24.54950563,24.74947512,24.94633495,25.14513899,25.33851766,25.50762538,25.64281323,
Barbados,BRB,615.4813953,617.155814,619.6627907,622.0906977,624.4302326,626.6906977,628.8953488,631.2651163,634.0348837,636.7232558,638.8627907,640.6651163,642.3186047,643.872093,645.3325581,646.7046512,648.0209302,649.272093,650.4372093,651.5813953,652.7744186,653.9534884,
Brunei Darussalam,BRN,63.36356736,64.65806452,65.93225806,67.18121442,68.39867173,69.5857685,70.74155598,71.8686907,72.97305503,74.06280835,75.15237192,76.18709677,77.1601518,78.12182163,79.06185958,79.96907021,80.83377609,81.64629981,82.40493359,83.12106262,83.81878558,84.51100569,
Bhutan,BTN,14.75394472,15.15663317,15.55396985,15.94540201,17.0525225,17.40228769,17.66298502,17.88215232,18.09525933,18.30359157,18.50922161,18.71424824,18.91924863,19.12241257,19.31833565,19.49980324,19.65606648,19.82280306,19.98154169,20.12215522,20.25448348,20.38505506,
Botswana,BWA,3.04728001,3.108940765,3.167522453,3.223515607,3.280371606,3.339874367,3.403214935,3.470747975,3.541933549,3.615472977,3.690759268,3.765526794,3.838556279,3.91240626,3.988453055,4.067494221,4.150858433,4.23806751,4.32553244,4.410745858,4.493148413,4.567294832,
Central African Republic,CAF,6.034174452,6.171583357,6.309428874,6.46383672,6.605570002,6.755969694,6.893242159,7.02361071,7.17074866,7.326944685,7.480283476,7.595784776,7.662053356,7.70879964,7.702870076,7.735935343,7.872125911,8.02070853,8.178079553,8.361944204,8.576551414,8.759757938,
Canada,CAN,3.42261134,3.459995605,3.497826579,3.529497557,3.562582608,3.596389418,3.632909156,3.66836148,3.708302298,3.750884772,3.792822224,3.830124732,3.871939493,3.913066959,3.952604904,3.982215114,4.027563942,4.07616632,4.134148896,4.193949311,4.23922642,4.349505388,
Central Europe and the Baltics,CEB,98.14558055,97.43263476,96.94538924,96.63579463,96.36113319,96.11156771,95.86997537,95.52262775,95.18263316,94.91405607,94.57237703,94.3426815,94.14015704,93.84889342,93.59047006,93.37544026,93.13795402,92.96902425,92.78931855,92.66895471,92.47028789,91.77854252,
Switzerland,CHE,181.7712317,182.9307258,184.3254821,185.7038566,186.9906177,188.1981564,189.3887944,191.0948546,193.5413607,195.9777672,198.0326587,200.2498644,202.390548,204.7343366,207.2507514,209.6266208,211.9315721,213.9184801,215.5000945,217.0427817,218.6344696,220.285662,
Channel Islands,CHI,733.8686869,737.5959596,743.2676768,749.1969697,755.2424242,761.4292929,767.6010101,773.8636364,780.1767677,786.469697,792.5909091,797.0656566,801.1161616,807.040404,812.6868687,819.1414141,826.8737374,834.4191919,844.7424242,855.6060606,864.2070707,872.1363636,
Chile,CHL,20.64712615,20.8786952,21.1070808,21.32942765,21.54307548,21.75469381,21.96889307,22.18537736,22.40853386,22.639842,22.86944207,23.09728835,23.32350323,23.54965893,23.78795802,24.0341021,24.32158804,24.7044875,25.15217906,25.60681316,25.95761178,26.21700747,
China,CHN,134.492481,135.4730488,136.3837796,137.2359193,138.0534367,138.8677661,139.6453429,140.3765881,141.0977052,141.8012441,142.4877434,143.2685098,144.243669,145.2076439,146.1258167,146.9779493,147.8226414,148.7200435,149.4171945,149.9481797,150.3055428,150.4397537,
Cote d'Ivoire,CIV,52.82915094,54.23103145,55.60973899,56.9699717,58.31730503,59.65476415,60.98760063,62.31981132,63.66178931,65.02440881,66.41522642,67.80790566,69.21607547,70.65807547,72.31306604,74.20358805,76.14346541,78.13841509,80.16977358,82.22500314,84.31380503,86.40958805,
Cameroon,CMR,31.92569228,32.7753866,33.66553066,34.59695373,35.55966026,36.54496626,37.55226883,38.61112733,39.72219966,40.8691883,42.05122803,43.25881196,44.49384189,45.7634702,47.1739227,48.68237609,50.16105012,51.6028453,53.04890313,54.54156036,56.04088553,57.53766157,
"Congo, Dem. Rep.",COD,21.44474846,22.10214023,22.78823625,23.46910699,24.17926689,24.94441984,25.75224631,26.59377693,27.45846982,28.34971968,29.28530778,30.28352661,31.3172934,32.40335282,33.53944024,34.69570764,35.91935643,37.17750954,38.41439536,39.65809753,40.95770451,42.29907501,
"Congo, Rep.",COG,9.177247438,9.528846266,9.754489019,10.02826647,10.37485212,10.75501903,11.16639239,11.58515081,11.97540849,12.46626647,12.99526794,13.42376574,13.80163104,14.13782138,14.47982723,14.82982723,15.18835725,15.55590044,15.93283163,16.31254173,16.69743485,17.08874378,
Colombia,COL,35.34487156,35.90615142,36.4615142,37.00557639,37.53787111,38.05402434,38.5515187,39.03252096,39.49104371,39.94043894,40.39306715,40.83722307,41.26400811,41.67456512,42.07115548,42.46933574,42.92560162,43.57969446,44.41366471,45.23425507,45.90415683,46.43223254,
Comoros,COM,288.424503,294.3261687,300.4013971,306.3567974,312.2804944,318.4755508,324.9102633,331.4879097,338.2428802,345.2407308,352.5115529,360.0596454,367.8414831,375.8156905,383.9935519,392.3782912,400.984417,409.2767329,417.1483074,425.0327781,433.189683,441.4965073,
Cabo Verde,CPV,113.7099256,115.6223325,117.4270471,119.1287841,120.7401985,122.2895782,123.7925558,125.2439206,126.6342432,127.9498759,129.3330025,130.8985112,132.4724566,133.9801489,135.5027295,137.0138958,138.5593052,140.1870968,141.737469,143.1836228,144.5756824,145.8870968,
Costa Rica,CRI,77.93170779,79.38155112,80.74075597,82.03309832,83.29024677,84.52579318,85.74563259,86.95689385,88.16923228,89.36793968,90.52589111,91.65542499,92.76523698,93.84126518,94.87442225,95.87234626,96.85086173,97.80340776,98.7217783,99.57955347,100.334998,100.9392284,
Caribbean small states,CSS,16.25822156,16.36853897,16.47978758,16.5907052,16.69846116,16.80245523,16.90547857,17.00556996,17.10244288,17.20202544,17.30129184,17.39991849,17.51017908,17.62599481,17.7375423,17.84513277,17.94558972,18.04034581,18.21575892,18.33790787,18.38895393,18.48061504,
Cuba,CUB,103.4058752,103.7162663,104.99155,105.2557989,105.4909689,105.6568395,105.803157,105.880186,105.943339,106.0051203,106.0730646,105.7307955,106.042157,108.6315391,108.9408383,108.9326993,109.0158785,109.213921,109.1352987,109.0240559,108.8699229,108.4428902,
